district,tehsil,village,survey_no,manual_textual,auto_textual,textual_match,manual_joint,auto_joint,joint_match,manual_spatial,owners_on_record,govt_land,note
Ujjain,Kothi Mahal,Jiwankhedi,41-54,Y,Y,OK,N,N,OK,,1,N,
Ujjain,Kothi Mahal,Sikandari,50-34,Y,Y,OK,N,N,OK,,1,N,
Ujjain,Khacharod,Kadiyali,50-236,Y,Y,OK,Y,Y,OK,,3,N,
Ujjain,Khacharod,Sekdi Sultanpur,50-278,Y,Y,OK,N,N,OK,,1,N,
Umaria,Bandhavgarh,Mahimar,15-208,Y,Y,OK,Y,Y,OK,,2,N,
Umaria,Bandhavgarh,Mahroi,41-779/1,Y,Y,OK,N,N,OK,,1,N,
Umaria,Pali,Maman,7-417,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Umaria,Pali,Odari-I,29-399,Y,Y,OK,N,NA,,,1,Y,govt plot — joint NA
Vidisha,Vidisha Nagar,Hasnabad,5-34,Y,Y,OK,N,N,OK,,1,N,
Vidisha,Vidisha Nagar,Amkheda Haweli,50-69/2,Y,Y,OK,N,N,OK,,1,N,
Vidisha,Lateri,Muskara,50-181,Y,Y,OK,N,N,OK,,1,Y,govt plot — joint NA
Vidisha,Lateri,Danwas,50-140,Y,Y,OK,N,N,OK,,1,N,
